Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q9WTU0_peptide1	5529171	5368057.799	5224016.056	4845874.603	9208085.388	7671524.274	10716037.98	13864908.33
Q8VHK1_peptide1	1607654.5	1378461.074	1570428.108	NA	1579135.706	1798005.608	652631.1342	NA
Q9ESC8_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
Q5SVQ0_peptide1	9924651	16124253.46	14305016.4	14700328.07	12917193.57	15281848.33	17509123.65	18663049.05
Q5SVQ0_peptide2	6103801	NA	6049785.933	6234498.609	1828141.722	NA	7196268.475	6645905.204
Q8BSQ9_peptide1	5351786	5731638.733	NA	NA	3284108.271	5054883.626	859779.464	1272665.488
O08638; Q8VDD5_peptide1	9556128	8737361.34	13718486.18	13181149.53	8104484.928	7071247.088	9425616.835	8276699.869
Q6ZQF0_peptide1	6561886.5	4614648.312	4330333.989	5099985.285	5447014.957	4530910.737	4277731.248	3788705.904
P51859_peptide6	125149651	161898186.1	180987418.6	214094943.2	178417644	240693040.6	220020268	182587521
P47941_peptide1	7817927	11641885.99	2662448.885	14657342.66	13162223.12	7127972.876	13482559.91	14992441.17
Q8BL99_peptide1	NA	3003069.755	4354740.977	2253638.078	NA	3432455.148	3526852.917	4281859.343
Q8CHX7_peptide1	5057602	3632571.522	NA	NA	4114364.826	NA	NA	NA
Q8BFU3; Q8BFU3-2_peptide1	28896708	43386429.96	47953619.3	55336797.22	35074909.84	40592253.45	47167805.96	49947756.58
Q99NH0_peptide1	96518738	46955669.19	55800345.57	59026140.39	87542626.64	37460433.2	48967743.79	59591075.75
Q99NH0_peptide2	8486339	5933796.958	4300125.438	3234772.397	5576289.104	6350241.646	4525082.638	3027020.737
P70445_peptide1	25426015	33582876.59	31280282.89	27797431.43	52671856.27	65622674.97	67895656.09	44718515.26
Q9D032_peptide1	103681949.8	106977941	126049387.9	116583835	98611405.49	105290426.1	115088289.8	116412250.2
Q9CYZ8_peptide1	35205474.5	42053096.47	37180287.61	44922781.38	21410090.6	30727304.26	27582492.15	34407178.42
Q8K3I9_peptide1	1534598.875	2382773.639	784282.2106	NA	7783038.18	8559430.791	11586441.95	4808512.093
Q80TZ9_peptide1	14360833.19	10371890.13	12186694.59	5606640.995	7845110.372	11075772.74	9126501.779	7796207.814
Q3UPH7_peptide1	16701942.5	28162238.97	31857168.69	38683261.63	29450510.15	33724145.6	35071541.49	44532265.23
Q3UPH7_peptide2	4679528	4192627.144	1376415.481	2128168.323	6672122.527	4000047.121	1237855.786	3284866.652
Q8C0T5_peptide1	6390334	9679267.819	9234119.864	9639649.378	8396089.914	9712329.138	8920882.917	9072857.876
Q8CGI1_peptide1	8379326.25	6325373.912	5483164.104	6738661.637	6344427.479	2432875.502	3808282.691	4999909.667
Q8CGI1_peptide2	1480903.563	3983662.071	2618126.676	2923609.947	5636205.538	10560273.84	4953560.192	2149352.858
Q925J9_peptide1	37786744	34714678.1	30639275.75	38015267.04	31719368.89	28251465.73	33163322.34	34098858.38
Q60876_peptide1	6024699.5	2667966.393	8255784.958	8834221.463	29987719.78	28514561.4	35765220.12	30087444.53
P97798_peptide1	11729733	NA	11492925.02	10054725.77	15492542.1	NA	17020276.5	14108054.1
Q80XU3_peptide1	46347056.83	53193354.96	95313847.2	19659057.34	22853110.87	71730804.16	68654142.65	16642368.38
