From	To
Q80TY0	14269
Q8BGZ4	52563
A2A690	77097
Q6PGN3	70762
P58871	228140
Q5UAK0	71148
Q8K387	77593
Q921C3	93871
Q7TPH6	105689
O54781	20817
Q99JT5	57896
Q569Z6	230753
B9EKI3	232286
Q6ZQH8	227699
Q3V0G7	99326
P70444	12122
A2RTL5	208606
Q9Z1R2	224727
Q9Z0F8	11491
P55937	269682
O54916	19707
Q5SSZ5	319939
Q5SX79	71774
O08715	11640
Q8C5L7	52202
Q9ERR1	83431
Q7TSI3	243819
Q8CI61	67384
Q99PT3	70020
Q9CX00	71955
Q52KE7	56706
Q80U35	207212
Q9CSP9	67120
Q8CJF7	226747
P50172	15483
Q80XQ2	72238
Q925J9	19014
O54988	20874
Q5DU37	211978
Q71FD5	387524
P28659	13046
Q9DC22	74106
Q8VCI5	19298
Q9ET54	72333
P97434	26936
Q3UFT3	381126
Q99MD8	80732
Q8VHK1	140721
Q64511	21974
P19096	14104
P61406	103677
O88456	12336
Q0VEJ0	225659
Q9CXF4	66687
P54103	22791
Q8C0T5	217692
O70472	56030
Q3U214	546071
P52825	12896
Q3UHI0	72972
Q5DTT3	105203
Q99JY0	231086
P49586	13026
Q99MI1	111173
P04117	11770
Q7TQH0	233871
Q9Z2U1	26442
E9Q9M8	101631
Q5I1X5	333654
Q9JIA7	56632
P08113	22027
P11499	15516
Q80U62	100502698
Q7TSC1	53761
Q9WV69	13829
Q8BVP5	103236
Q6XUX1	213452
Q6NXH3	73274
Q8BH64	259300
Q91Z67	14270
O70400	54132
Q80Y56	78287
P31938	26395
Q63932	26396
B2RY04	68813
Q8CDU4	320118
P23949	12193
Q3TCJ1	109359
Q8R0J4	66990
P13864	13433
Q62418	13169
Q8VD75	215114
Q7TT28	66932
Q9EPK5	97064
Q8VCF0	228607
Q9WTR6	26570
Q9Z1Z2	20901
Q7TT00	56790
Q640L3	72278
Q811P8	330914
Q9CRB9	66075
Q3UHF7	15273
O35350	12333
Q5NCI0	72046
Q8BKI2	213988
O54879	15354
P46938	22601
Q99PP2	57908
Q8C9S4	213993
Q91VS8	227377
Q9CZJ2	72630
Q08122	21887
Q9EP71	75646
P97868	19647
Q8BH66	73991
Q8CI51	56376
Q922G2	230789
Q8VE94	104943
Q64028	13619
B1AY10	74164
A2AWL7	29808
Q3UJB9	234699
Q8VHX6	68794
Q91W59	56878
Q8BJS4	223697
Q8K2P2	239463
Q8BVI5	228960
Q61937	18148
O89032	14218
Q6PDJ6	213499
P43276	56702
Q8C4S8	209773
P59110	223870
Q8BGW2	226178
Q9QYB5	27360
Q9D7A8	74252
Q8BU11	268741
Q5NCR9	237859
Q9Z2D8	17192
Q01279	13649
P62821	19324
Q9D1G1	76308
Q9R0Z9	50768
Q8K120	73181
Q91VE6	67949
Q9ER64	79196
Q9D6R2	67834
Q02111	18761
Q99JX3	70231
Q99PM9	80914
Q5NCY0	216850
Q6A0A2	217980
Q9JK92	80888
P38647	15526
Q8R4U7	269593
P67778	18673
Q9DC28	104318
Q9DCC8	67952
G5E8B9	271377
Q8R4R6	69482
Q8C052	270058
Q80V24	232334
Q9QY01	29869
P16951	11909
Q01063	238871
Q3TEI4	74211
O89086	19652
Q3UCQ1	68837
E9Q6P5	104718
Q80TS5	94187
Q5DTX6	240185
P20152	22352
Q9QZW0	320940
Q3UU96	226751
P70295	11993
Q8R316	73389
Q91ZU6	13518
Q8CCI5	56353
Q9Z2S7	14605
Q6P1H6	71782
O55098	20868
Q70FJ1	100986
O89110	12370
Q7TPV4	18432
Q8K327	101994
Q9R207	27354
A2RSJ4	75089
P61620	53421
Q6PDG5	68094
Q8CFD4	231834
P52734	14163
Q8K2D3	353190
Q9QXS1	18810
Q6PDM1	74026
P58468	108707
A2ABV5	26896
Q8BH95	93747
Q6P2L6	234135
P23116	13669
P97412	17101
Q8C6B2	20166
Q6DFV7	211329
Q8VD04	54645
Q4U2R1	15204
Q91XU0	78903
O08810	20624
Q9EQ20	104776
Q9Z2F7	12177
Q2KN98	74392
Q505F1	22025
Q9DBV3	71723
Q8BWR4	227334
P97784	12952
O88738	12211
P41969	13712
D3YZP9	76551
Q5RJH6	226517
Q9JMB0	56278
Q9CR37	66496
E9Q3L2	224020
Q6NZM9	208727
Q8K221	76932
Q6ZPJ3	217342
Q3UH68	77569
Q99P72	68585
Q91X51	74498
Q8BX17	216766
O35382	20336
Q64430	11977
Q7SIG6	211914
Q9CXK9	381626
Q62167	13205
Q69ZK6	108829
Q5SWU9	107476
Q3UR97	101113
Q80UU9	70804
Q11011	19155
Q61286	21406
Q61191	15161
Q9Z223	17434
P47713	18783
Q62077	18803
Q5XG73	74159
Q8BKX6	233789
Q9D6U8	70186
Q99L45	67204
Q3UW53	63913
Q68FD7	216742
P20029	14828
B9EJ80	107368
P62192	19179
Q5PSV9	240087
Q8BWZ3	231713
Q8BIW9	214901
E9PYK3	328417
Q3TXS7	70247
P51141	13542
Q60838	13543
Q8CBY1	74480
Q9DB52	68034
Q8VHR5	229542
Q6PIJ4	235134
P46638	19326
P08775	20020
Q8VBT6	171504
Q6ZPI0	269424
Q91VW5	54214
Q8CB77	27224
