Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
P37040_peptide1	1861279.375	1777896.375	1080771.125	1115045.75	1359687.25	1541217.875	1080891.5	1005962.938
Q3ULW8_peptide1	252873971	311929552.3	317254910.3	273969635.3	275700204.5	238632100.9	256959808.8	246368222.6
Q91YD3_peptide1	1720518.625	1418612	1495585	1423527.875	649881.125	1088300.875	1080534.125	975880.5
P23949_peptide1	16962734	19119475	4935908.5	4735412.75	13847146	15289762	4302361.5	3261764.375
B2RWS6_peptide1	4990023	NA	4741157.5	3615776.75	NA	NA	3306904.75	2552052.75
P14115_peptide1	2295780.5	3180676.5	2320745	1806589.75	2517976.5	2777024.75	2134108	1411648.75
Q60592_peptide1	13554590	10557226	NA	10311027	17054872	10244421	11898960	9559029
Q3U3T8_peptide1	3331210.5	3380851.5	2942725.75	1967375.5	2974497.5	3721808.75	2551241.5	1831432.25
Q9CQU5_peptide1	4662226.375	5051405.75	2972237.938	3013739.875	5925314.75	4274580.75	3520046	2711675.875
Q7TPS5_peptide1	6728378.5	7047134	4117507.25	3651425.75	20973976	21903306	17014418	14383910
Q7TPS5_peptide2	NA	NA	NA	NA	5274369	9563053	4348939.5	3567098.25
P63017_peptide2	7448560	8170923	7197146	6158364.5	6850068.5	8151821.5	6179535	5195717.5
A8Y5H7_peptide1	NA	NA	891791.4375	NA	2247696	2151363.5	2020616.75	613052.375
P37913_peptide1	11038866	8236036	4655862.5	3635883	6694833	7525493	3576220	4591707
Q8C4X2_peptide1	5206545.75	2804910	4422380.375	3145683.75	5542226.625	3511673.75	3522471.188	4124941.188
Q91YD3_peptide2	NA	1165746.5	NA	NA	NA	1988136.75	NA	NA
Q9D1Q1_peptide1	671862.8125	2079241.875	1586104	2100863.313	NA	2206575	919903.5	1508227.875
Q8C180_peptide1	8938542.406	8973470.266	5229587.844	4310630.281	528935.5625	4785081.375	4177365.594	3464091.188
P56564_peptide1	66985414	65995526.5	65282565.5	45751997.25	59568703.5	69240188.5	41035997	38169155.5
Q3UYI5_peptide1	1951092.25	2524372.75	1568206	2036245	NA	475645.0625	NA	NA
